column 1,column 2
40.5,0
40.5,0.2
40.5,0.23
40.25,0.25
40,0.29
39,0.34
33.75,0.36
29.75,0.38
25.5,0.4
23.5,0.42
21,0.435
18.5,0.46
17.5,0.49
16.5,0.52
15.5,0.56
15,0.58
13.5,0.64
12.5,0.68
12,0.725
11.5,0.76
