column 1,column 2
30,0
29,0.29
23,0.34
21,0.35
18.5,0.37
17,0.38
14.5,0.4
13.5,0.42
13,0.44
12,0.455
11.5,0.5 
11,0.52 
10.5,0.565 
10,0.59 
